Origen,Destino,Empresa,Tarifa,Tipo de Servicio
P.de OLMOS ,LOS CISNES ,COATA SA,5044.437193465029,REGULAR
P.de OLMOS ,PASO DEL DURAZNO ,COATA SA,13872.202282028831,REGULAR
P.de OLMOS ,RIO CUARTO ,COATA SA,16623.7134784643,REGULAR
PASO DEL DURAZNO ,RIO CUARTO ,COATA SA,3210.096395841383,REGULAR
REDUCCION ,CRUCE LAS ACEQUIAS ,COATA SA,1605.0481979206916,REGULAR
REDUCCION ,PASO DEL DURAZNO ,COATA SA,2636.8648965839934,REGULAR
REDUCCION ,RIO CUARTO ,COATA SA,5846.961292425378,REGULAR
SAN SEVERO ,ALE.ROCA,COATA SA,10088.874386930058,REGULAR
SAN SEVERO ,CRUCE A.ROCA ,COATA SA,8942.41138841528,REGULAR
SAN SEVERO ,CRUCE A.ROCA ,COATA SA,8942.41138841528,REGULAR
SAN SEVERO ,CRUCE LAS ACEQUIAS ,COATA SA,13986.84858188031,REGULAR
SAN SEVERO ,LA CARLOTA,COATA SA,4700.498293910597,REGULAR
SAN SEVERO ,LOS CISNES ,COATA SA,6076.253892128331,REGULAR
SAN SEVERO ,P.de OLMOS ,COATA SA,2522.2185967325145,REGULAR
SAN SEVERO ,PASO DEL DURAZNO ,COATA SA,14904.018980692139,REGULAR
SAN SEVERO ,REDUCCION ,COATA SA,12611.092983662578,REGULAR
SAN SEVERO ,RIO CUARTO ,COATA SA,17655.530177127606,REGULAR
ALEJO LEDESMA,ARIAS,COATA SA,4241.9130945046845,REGULAR
AUSONIA,ALEJO LEDESMA,COATA SA,20750.98027311751,REGULAR
AUSONIA,ARIAS,COATA SA,24190.36926866185,REGULAR
AUSONIA,BARRETO,COATA SA,11693.922584850756,REGULAR
AUSONIA,CANALS,COATA SA,17426.23757742465,REGULAR
AUSONIA,CHAZON,COATA SA,6649.4853913857205,REGULAR
AUSONIA,CRUCE BENJAMIN GOULD,COATA SA,19489.870974751255,REGULAR
AUSONIA,CRUCE LA CARLOTA,COATA SA,12955.03188321701,REGULAR
AUSONIA,ETRURIA,COATA SA,4700.498293910597,REGULAR
AUSONIA,LA CARLOTA,COATA SA,12955.03188321701,REGULAR
AUSONIA,LAGUNA,COATA SA,3439.3889955443387,REGULAR
AUSONIA,P.DE OLMOS,COATA SA,13757.555982177355,REGULAR
AUSONIA,PEDRO FUNES,COATA SA,10432.81328648449,REGULAR
AUSONIA,S.VICTORIA,COATA SA,6190.90019197981,REGULAR
AUSONIA,SAN SEVERO,COATA SA,15133.31158039509,REGULAR
AUSONIA,SANTA EUFEMIA,COATA SA,9171.703988118235,REGULAR
BARRETO,ALEJO LEDESMA,COATA SA,11808.56888470223,REGULAR
BARRETO,ARIAS,COATA SA,15133.31158039509,REGULAR
BARRETO,CANALS,COATA SA,8369.17988915789,REGULAR
BARRETO,CRUCE BENJAMIN GOULD,COATA SA,10318.166986633016,REGULAR
BARRETO,CRUCE LA CARLOTA,COATA SA,2522.2185967325145,REGULAR
BARRETO,LA CARLOTA,COATA SA,2522.2185967325145,REGULAR
BARRETO,P.DE OLMOS,COATA SA,4700.498293910597,REGULAR
BARRETO,SAN SEVERO,COATA SA,5617.668692722416,REGULAR
CANALS,ALEJO LEDESMA,COATA SA,5159.083493316508,REGULAR
CANALS,ARIAS,COATA SA,7452.0094903460695,REGULAR
CANALS,CRUCE BENJAMIN GOULD,COATA SA,3554.0352953958163,REGULAR
CHAZON,ALEJO LEDESMA,COATA SA,15477.250479949527,REGULAR
CHAZON,ARIAS,COATA SA,18916.63947549386,REGULAR
CHAZON,BARRETO,COATA SA,5159.083493316508,REGULAR
CHAZON,CANALS,COATA SA,12496.446683811095,REGULAR
CHAZON,CRUCE BENJAMIN GOULD,COATA SA,13069.678183068487,REGULAR
CHAZON,CRUCE LA CARLOTA,COATA SA,6190.90019197981,REGULAR
CHAZON,LA CARLOTA,COATA SA,6190.90019197981,REGULAR
CHAZON,P.DE OLMOS,COATA SA,7452.0094903460695,REGULAR
CHAZON,PEDRO FUNES,COATA SA,3554.0352953958163,REGULAR
CHAZON,SAN SEVERO,COATA SA,8369.17988915789,REGULAR
CHAZON,SANTA EUFEMIA,COATA SA,2522.2185967325145,REGULAR
CORDOBA,ALEJO LEDESMA,COATA SA,42763.069844601276,REGULAR
CORDOBA,ARIAS,COATA SA,50329.72563479882,REGULAR
CORDOBA,AUSONIA,COATA SA,22126.735871335244,REGULAR
CORDOBA,BARRETO,COATA SA,31527.732459156436,REGULAR
CORDOBA,CANALS,COATA SA,38865.09564965101,REGULAR
CORDOBA,CHAZON,COATA SA,27744.404564057662,REGULAR
CORDOBA,CRUCE BENJAMIN GOULD,COATA SA,40470.143847571715,REGULAR
CORDOBA,CRUCE LA CARLOTA,COATA SA,32903.48805737416,REGULAR
CORDOBA,ETRURIA,COATA SA,25566.124866879578,REGULAR
CORDOBA,LA CARLOTA,COATA SA,32903.48805737416,REGULAR
CORDOBA,LAGUNA,COATA SA,24190.36926866185,REGULAR
CORDOBA,LAGUNA LARGA,COATA SA,6420.192791682766,REGULAR
CORDOBA,OLIVA,COATA SA,12381.80038395962,REGULAR
CORDOBA,ONCATIVO,COATA SA,11235.337385444833,REGULAR
CORDOBA,P.DE OLMOS,COATA SA,35196.41405440372,REGULAR
CORDOBA,PEDRO FUNES,COATA SA,30725.2083601961,REGULAR
CORDOBA,S.VICTORIA,COATA SA,27285.819364651747,REGULAR
CORDOBA,SAN SEVERO,COATA SA,36457.52335277,REGULAR
CORDOBA,SANABRIA,COATA SA,19948.456174157156,REGULAR
CORDOBA,SANTA EUFEMIA,COATA SA,29120.160162275406,REGULAR
CORDOBA,VILLA MARIA,COATA SA,19833.809874305683,REGULAR
CORDOBA,VILLA NUEVA,COATA SA,19833.809874305683,REGULAR
CRUCE BENJAMIN GOULD,ALEJO LEDESMA,COATA SA,2636.8648965839934,REGULAR
CRUCE BENJAMIN GOULD,ARIAS,COATA SA,5617.668692722416,REGULAR
CRUCE LA CARLOTA,ALEJO LEDESMA,COATA SA,11235.337385444833,REGULAR
CRUCE LA CARLOTA,ARIAS,COATA SA,13757.555982177355,REGULAR
CRUCE LA CARLOTA,CANALS,COATA SA,7452.0094903460695,REGULAR
CRUCE LA CARLOTA,CRUCE BENJAMIN GOULD,COATA SA,9171.703988118235,REGULAR
CRUCE LA CARLOTA,P.DE OLMOS,COATA SA,3439.3889955443387,REGULAR
CRUCE LA CARLOTA,SAN SEVERO,COATA SA,4700.498293910597,REGULAR
ETRURIA,ALEJO LEDESMA,COATA SA,17426.23757742465,REGULAR
ETRURIA,ARIAS,COATA SA,20636.33397326603,REGULAR
ETRURIA,BARRETO,COATA SA,7452.0094903460695,REGULAR
ETRURIA,CANALS,COATA SA,13757.555982177355,REGULAR
ETRURIA,CHAZON,COATA SA,3439.3889955443387,REGULAR
ETRURIA,CRUCE BENJAMIN GOULD,COATA SA,16165.128279058394,REGULAR
ETRURIA,CRUCE LA CARLOTA,COATA SA,9171.703988118235,REGULAR
ETRURIA,LA CARLOTA,COATA SA,9171.703988118235,REGULAR
ETRURIA,P.DE OLMOS,COATA SA,10432.81328648449,REGULAR
ETRURIA,PEDRO FUNES,COATA SA,6190.90019197981,REGULAR
ETRURIA,S.VICTORIA,COATA SA,2636.8648965839934,REGULAR
ETRURIA,SAN SEVERO,COATA SA,11693.922584850756,REGULAR
ETRURIA,SANTA EUFEMIA,COATA SA,5159.083493316508,REGULAR
LA CARLOTA,ALEJO LEDESMA,COATA SA,11235.337385444833,REGULAR
LA CARLOTA,ARIAS,COATA SA,13757.555982177355,REGULAR
LA CARLOTA,CANALS,COATA SA,7452.0094903460695,REGULAR
LA CARLOTA,CRUCE BENJAMIN GOULD,COATA SA,9171.703988118235,REGULAR
LA CARLOTA,P.DE OLMOS,COATA SA,3439.3889955443387,REGULAR
LA CARLOTA,SAN SEVERO,COATA SA,4700.498293910597,REGULAR
LAGUNA,ALEJO LEDESMA,COATA SA,18916.63947549386,REGULAR
LAGUNA,ARIAS,COATA SA,22126.735871335244,REGULAR
LAGUNA,BARRETO,COATA SA,8369.17988915789,REGULAR
LAGUNA,CANALS,COATA SA,15477.250479949527,REGULAR
LAGUNA,CHAZON,COATA SA,4700.498293910597,REGULAR
LAGUNA,CRUCE BENJAMIN GOULD,COATA SA,18114.115376533515,REGULAR
LAGUNA,CRUCE LA CARLOTA,COATA SA,9400.996587821193,REGULAR
LAGUNA,ETRURIA,COATA SA,3783.3278950987724,REGULAR
LAGUNA,LA CARLOTA,COATA SA,9400.996587821193,REGULAR
LAGUNA,P.DE OLMOS,COATA SA,12496.446683811095,REGULAR
LAGUNA,PEDRO FUNES,COATA SA,7910.594689751979,REGULAR
LAGUNA,S.VICTORIA,COATA SA,4241.9130945046845,REGULAR
LAGUNA,SAN SEVERO,COATA SA,12955.03188321701,REGULAR
LAGUNA,SANTA EUFEMIA,COATA SA,6649.4853913857205,REGULAR
LAGUNA LARGA,ARIAS,COATA SA,46431.751439848565,REGULAR
LAGUNA LARGA,AUSONIA,COATA SA,15133.31158039509,REGULAR
LAGUNA LARGA,BARRETO,COATA SA,24190.36926866185,REGULAR
LAGUNA LARGA,CANALS,COATA SA,30725.2083601961,REGULAR
LAGUNA LARGA,CHAZON,COATA SA,20636.33397326603,REGULAR
LAGUNA LARGA,CRUCE LA CARLOTA,COATA SA,25222.185967325157,REGULAR
LAGUNA LARGA,ETRURIA,COATA SA,19031.28577534534,REGULAR
LAGUNA LARGA,LA CARLOTA,COATA SA,25222.185967325157,REGULAR
LAGUNA LARGA,LAGUNA,COATA SA,17311.591277573174,REGULAR
LAGUNA LARGA,OLIVA,COATA SA,6420.192791682766,REGULAR
LAGUNA LARGA,ONCATIVO,COATA SA,4241.9130945046845,REGULAR
LAGUNA LARGA,P.DE OLMOS,COATA SA,26827.234165245845,REGULAR
LAGUNA LARGA,PEDRO FUNES,COATA SA,22929.25997029559,REGULAR
LAGUNA LARGA,S.VICTORIA,COATA SA,19948.456174157156,REGULAR
LAGUNA LARGA,SAN SEVERO,COATA SA,27285.819364651747,REGULAR
LAGUNA LARGA,SANABRIA,COATA SA,13298.970782771441,REGULAR
LAGUNA LARGA,SANTA EUFEMIA,COATA SA,22126.735871335244,REGULAR
LAGUNA LARGA,VILLA MARIA,COATA SA,12267.154084108144,REGULAR
LAGUNA LARGA,VILLA NUEVA,COATA SA,12496.446683811095,REGULAR
OLIVA,ALEJO LEDESMA,COATA SA,31298.439859453487,REGULAR
OLIVA,ARIAS,COATA SA,42304.48464519535,REGULAR
OLIVA,AUSONIA,COATA SA,10432.81328648449,REGULAR
OLIVA,BARRETO,COATA SA,22814.613670444116,REGULAR
OLIVA,CANALS,COATA SA,27744.404564057662,REGULAR
OLIVA,CHAZON,COATA SA,18916.63947549386,REGULAR
OLIVA,CRUCE BENJAMIN GOULD,COATA SA,29922.684261235736,REGULAR
OLIVA,CRUCE LA CARLOTA,COATA SA,23502.49146955298,REGULAR
OLIVA,ETRURIA,COATA SA,15133.31158039509,REGULAR
OLIVA,LA CARLOTA,COATA SA,23502.49146955298,REGULAR
OLIVA,LAGUNA,COATA SA,12496.446683811095,REGULAR
OLIVA,P.DE OLMOS,COATA SA,24190.36926866185,REGULAR
OLIVA,PEDRO FUNES,COATA SA,20750.98027311751,REGULAR
OLIVA,S.VICTORIA,COATA SA,17884.82277683056,REGULAR
OLIVA,SAN SEVERO,COATA SA,24534.30816821629,REGULAR
OLIVA,SANABRIA,COATA SA,8942.41138841528,REGULAR
OLIVA,SANTA EUFEMIA,COATA SA,20636.33397326603,REGULAR
OLIVA,VILLA MARIA,COATA SA,7910.594689751979,REGULAR
OLIVA,VILLA NUEVA,COATA SA,8369.17988915789,REGULAR
ONCATIVO,ALEJO LEDESMA,COATA SA,32788.8417575227,REGULAR
ONCATIVO,ARIAS,COATA SA,43336.301343858664,REGULAR
ONCATIVO,AUSONIA,COATA SA,12496.446683811095,REGULAR
ONCATIVO,BARRETO,COATA SA,22929.25997029559,REGULAR
ONCATIVO,CANALS,COATA SA,30037.33056108722,REGULAR
ONCATIVO,CHAZON,COATA SA,19489.870974751255,REGULAR
ONCATIVO,CRUCE BENJAMIN GOULD,COATA SA,31527.732459156436,REGULAR
ONCATIVO,CRUCE LA CARLOTA,COATA SA,24534.30816821629,REGULAR
ONCATIVO,ETRURIA,COATA SA,17196.94497772169,REGULAR
ONCATIVO,LA CARLOTA,COATA SA,24534.30816821629,REGULAR
ONCATIVO,LAGUNA,COATA SA,15133.31158039509,REGULAR
ONCATIVO,OLIVA,COATA SA,4241.9130945046845,REGULAR
ONCATIVO,P.DE OLMOS,COATA SA,24648.954468067754,REGULAR
ONCATIVO,PEDRO FUNES,COATA SA,22126.735871335244,REGULAR
ONCATIVO,S.VICTORIA,COATA SA,18916.63947549386,REGULAR
ONCATIVO,SAN SEVERO,COATA SA,26827.234165245845,REGULAR
ONCATIVO,SANABRIA,COATA SA,11235.337385444833,REGULAR
ONCATIVO,SANTA EUFEMIA,COATA SA,20750.98027311751,REGULAR
ONCATIVO,VILLA MARIA,COATA SA,10432.81328648449,REGULAR
ONCATIVO,VILLA NUEVA,COATA SA,10432.81328648449,REGULAR
P.DE OLMOS,ALEJO LEDESMA,COATA SA,8254.533589306413,REGULAR
P.DE OLMOS,ARIAS,COATA SA,11693.922584850756,REGULAR
P.DE OLMOS,CANALS,COATA SA,4700.498293910597,REGULAR
P.DE OLMOS,CRUCE BENJAMIN GOULD,COATA SA,7452.0094903460695,REGULAR
P.DE OLMOS,SAN SEVERO,COATA SA,2522.2185967325145,REGULAR
PEDRO FUNES,ALEJO LEDESMA,COATA SA,12955.03188321701,REGULAR
PEDRO FUNES,ARIAS,COATA SA,16165.128279058394,REGULAR
PEDRO FUNES,BARRETO,COATA SA,2522.2185967325145,REGULAR
PEDRO FUNES,CANALS,COATA SA,9400.996587821193,REGULAR
PEDRO FUNES,CRUCE BENJAMIN GOULD,COATA SA,10318.166986633016,REGULAR
PEDRO FUNES,CRUCE LA CARLOTA,COATA SA,4241.9130945046845,REGULAR
PEDRO FUNES,LA CARLOTA,COATA SA,4241.9130945046845,REGULAR
PEDRO FUNES,P.DE OLMOS,COATA SA,6190.90019197981,REGULAR
PEDRO FUNES,SAN SEVERO,COATA SA,7452.0094903460695,REGULAR
S.VICTORIA,ALEJO LEDESMA,COATA SA,16165.128279058394,REGULAR
S.VICTORIA,ARIAS,COATA SA,18916.63947549386,REGULAR
S.VICTORIA,BARRETO,COATA SA,6190.90019197981,REGULAR
S.VICTORIA,CANALS,COATA SA,12496.446683811095,REGULAR
S.VICTORIA,CHAZON,COATA SA,2522.2185967325145,REGULAR
S.VICTORIA,CRUCE BENJAMIN GOULD,COATA SA,14330.78748143474,REGULAR
S.VICTORIA,CRUCE LA CARLOTA,COATA SA,7910.594689751979,REGULAR
S.VICTORIA,LA CARLOTA,COATA SA,7910.594689751979,REGULAR
S.VICTORIA,P.DE OLMOS,COATA SA,8942.41138841528,REGULAR
S.VICTORIA,PEDRO FUNES,COATA SA,5159.083493316508,REGULAR
S.VICTORIA,SAN SEVERO,COATA SA,9400.996587821193,REGULAR
S.VICTORIA,SANTA EUFEMIA,COATA SA,3554.0352953958163,REGULAR
SAN SEVERO,ALEJO LEDESMA,COATA SA,7452.0094903460695,REGULAR
SAN SEVERO,ARIAS,COATA SA,10547.459586335974,REGULAR
SAN SEVERO,CANALS,COATA SA,3554.0352953958163,REGULAR
SAN SEVERO,CRUCE BENJAMIN GOULD,COATA SA,5617.668692722416,REGULAR
SANABRIA,ALEJO LEDESMA,COATA SA,22929.25997029559,REGULAR
SANABRIA,ARIAS,COATA SA,26024.710066285497,REGULAR
SANABRIA,AUSONIA,COATA SA,3439.3889955443387,REGULAR
SANABRIA,BARRETO,COATA SA,13069.678183068487,REGULAR
SANABRIA,CANALS,COATA SA,19031.28577534534,REGULAR
SANABRIA,CHAZON,COATA SA,8369.17988915789,REGULAR
SANABRIA,CRUCE BENJAMIN GOULD,COATA SA,20750.98027311751,REGULAR
SANABRIA,CRUCE LA CARLOTA,COATA SA,14330.78748143474,REGULAR
SANABRIA,ETRURIA,COATA SA,6190.90019197981,REGULAR
SANABRIA,LA CARLOTA,COATA SA,14330.78748143474,REGULAR
SANABRIA,LAGUNA,COATA SA,4700.498293910597,REGULAR
SANABRIA,P.DE OLMOS,COATA SA,16165.128279058394,REGULAR
SANABRIA,PEDRO FUNES,COATA SA,12496.446683811095,REGULAR
SANABRIA,S.VICTORIA,COATA SA,7910.594689751979,REGULAR
SANABRIA,SAN SEVERO,COATA SA,16509.067178612826,REGULAR
SANABRIA,SANTA EUFEMIA,COATA SA,11235.337385444833,REGULAR
SANTA EUFEMIA,ALEJO LEDESMA,COATA SA,13757.555982177355,REGULAR
SANTA EUFEMIA,ARIAS,COATA SA,17426.23757742465,REGULAR
SANTA EUFEMIA,BARRETO,COATA SA,3439.3889955443387,REGULAR
SANTA EUFEMIA,CANALS,COATA SA,10432.81328648449,REGULAR
SANTA EUFEMIA,CRUCE BENJAMIN GOULD,COATA SA,12955.03188321701,REGULAR
SANTA EUFEMIA,CRUCE LA CARLOTA,COATA SA,4700.498293910597,REGULAR
SANTA EUFEMIA,LA CARLOTA,COATA SA,4700.498293910597,REGULAR
SANTA EUFEMIA,P.DE OLMOS,COATA SA,7452.0094903460695,REGULAR
SANTA EUFEMIA,PEDRO FUNES,COATA SA,2522.2185967325145,REGULAR
